roi_a_idx,roi_b_idx,dist_um,noise_corr,signal_corr,total_corr,cx_a,cy_a,cx_b,cy_b
112,1128,43.57133462890655,0.5775354,0.48137522,0.24156438,-239.53818,-216.72713,-236.5233,-173.26022
673,913,22.434624924890283,0.5771878,0.32050163,0.1370873,420.86615,136.76526,440.5598,126.01947
466,1017,15.846433598709275,0.575425,0.7509477,0.23755549,188.1153,22.015808,203.78186,24.396606
327,329,21.399836268822263,0.574087,0.26966503,0.36933857,18.774902,-152.97876,14.739838,-131.96278
222,1209,48.33651889211605,0.57281953,0.6268297,0.10719512,-145.87091,155.48141,-163.38535,110.42963
907,1140,34.50999438250327,0.5720224,-0.3381938,0.091491684,1.9456482,280.63342,27.939087,257.93362
725,905,23.718928529453233,0.5716428,0.1374731,0.13490127,508.98615,-159.79039,524.86975,-142.1751
464,501,40.63681087038669,0.5695371,-0.09176303,0.15043494,190.06226,-0.77012634,222.40051,23.838562
514,1292,40.626313104639344,0.5691012,0.5544268,0.17545845,252.11841,-191.79953,291.14392,-203.09142
507,1058,38.42967160999701,0.56841934,0.14861916,0.12728246,217.5473,194.65369,254.14209,206.3866
637,947,28.22545049384292,0.5673044,0.15829529,0.14078167,400.2414,62.397217,425.21027,49.235474
596,1099,43.198593805961906,0.5667237,0.6527102,0.18535845,349.5044,-15.425842,381.7832,13.2829895
1029,1122,47.58763307979829,0.56577075,0.6668364,0.3776465,-121.11621,232.01205,-84.712555,262.66098
1172,1183,48.026524922527585,0.56507087,0.23499551,0.1842566,221.52948,-152.83484,209.20013,-106.41788
132,879,32.39297509726455,0.56306285,0.028626796,0.4093742,-257.1141,65.24072,-286.37537,51.345276
71,101,40.55369155464533,0.5610585,0.20869486,0.041860297,-311.75107,227.98093,-290.68195,262.63196
124,126,30.659646833999414,0.56086326,0.6464133,0.23490779,-255.84511,-26.785599,-251.4115,3.5517883
666,892,30.182758801786797,0.56070155,0.46451503,0.22651513,404.5932,-15.605164,403.09595,14.540436
550,583,48.58203181694623,0.56041455,0.48427552,0.08802654,310.37097,-137.35776,337.15057,-177.89252
1171,1280,14.54374599672405,0.56012607,0.6635907,0.22722179,472.34448,321.75787,478.1869,335.07654
306,1016,29.181779929175743,0.55768585,0.6858035,0.07767136,-15.849548,34.248627,-40.003113,17.872375
64,66,49.21145511809327,0.5561785,0.6256491,0.06069437,-327.12823,77.708374,-343.6261,124.07202
513,1292,23.67804632423994,0.55580515,0.5373045,0.41588256,267.78577,-206.9704,291.14392,-203.09142
907,1287,19.415858441860994,0.5557913,0.34004587,0.1935772,1.9456482,280.63342,8.912048,298.75647
140,1101,43.11730322785147,0.5552592,0.47941288,0.24012192,-244.10931,303.44257,-201.14832,307.1106
660,683,38.77644602667729,0.55511105,0.38422692,0.31763852,416.6494,-164.49583,454.70038,-171.96155
0,14,38.27225073855064,0.55292577,0.5774302,0.37661308,-468.5371,-177.87436,-431.41815,-168.54976
183,834,29.61127793400554,0.5526196,0.6651559,0.23955922,-170.29202,-18.906769,-154.72638,6.2832794
722,1064,35.24357333536657,0.55082864,-0.213094,0.17231213,438.01184,340.26886,471.98022,349.66345
473,505,30.211431384411696,0.5506792,0.8330872,0.1520471,200.66077,167.96432,222.23517,146.81543
821,937,47.79260603767478,0.54925716,0.65339845,0.30392107,394.6582,360.71246,399.50623,313.16638
172,1249,10.538787580572377,0.5489632,0.78802633,0.3195516,-198.77191,285.97058,-207.01645,279.406
0,928,23.820617759938255,0.5487203,0.4541016,0.34389114,-468.5371,-177.87436,-473.47287,-201.17801
636,892,47.70956711885222,0.5480549,0.250179,0.16526355,376.5229,54.16461,403.09595,14.540436
605,642,23.880440214592415,0.54752517,0.32212797,0.3846351,359.28497,89.06387,362.64,112.70746
