idx_a,idx_b,dist_um,syn_ab,syn_ba,syn_total,root_id_a,root_id_b
1264,1441,10.730072879528882,0,0,0,864691136125956134,864691135280481697
485,1485,10.736858385952592,0,0,0,864691135947258916,864691135994226881
451,1342,10.738276956756161,0,0,0,864691135779006048,864691136195906774
1797,1829,10.744568860591867,0,0,0,864691135742664043,864691135939477508
827,1606,10.757569985828608,0,0,0,864691136674495623,864691136675427975
1141,1609,10.769037097159519,0,0,0,864691136424640047,864691136211175612
1197,2116,10.771461553568315,0,0,0,864691135716679194,864691135741910164
686,1975,10.790514352893492,0,0,0,864691135725842603,864691135750958889
880,949,10.800474063669586,0,0,0,864691135941549825,864691135014681590
1465,1971,10.810155225527517,0,0,0,864691135778773856,864691135695057855
833,1065,10.812452080818783,0,0,0,864691137055840886,864691135989998080
322,916,10.815056171837583,0,0,0,864691135947139108,864691136110256824
505,2305,10.815292876293286,0,0,0,864691135455400554,864691135258646703
187,1973,10.815633129872733,0,0,0,864691135660772080,864691135448017554
983,1132,10.834306992143146,0,0,0,864691136311451226,864691135465583685
69,927,10.850221011573906,0,0,0,864691135518791818,864691135585503864
1078,1226,10.859003269177116,0,0,0,864691135656664770,864691135211926464
1736,1820,10.866229520859592,0,0,0,864691135751110185,864691135990701056
137,933,10.868278980592931,0,0,0,864691136904366770,864691136287879619
471,2131,10.885225215860293,0,0,0,864691135469753426,864691135577651230
1495,2169,10.88588076363143,0,0,0,864691136968529870,864691135739587697
458,1692,10.90207466494341,0,0,0,864691135993150913,864691136034011579
205,979,10.91176539337246,0,0,0,864691135464633245,864691136042515798
475,741,10.912870932985506,0,0,0,864691137021264750,864691135308295238
961,963,10.91355120939097,0,0,0,864691135838738579,864691136904967346
484,1646,10.920679832318138,0,0,0,864691135342594225,864691136177731846
169,602,10.920843923433814,0,0,0,864691135946994785,864691135782278224
588,2294,10.929253222430132,0,0,0,864691135725748139,864691135357351375
537,733,10.930380414239856,0,0,0,864691135694189759,864691136953631711
203,769,10.932871534962809,0,0,0,864691135293398284,864691136125985318
1496,2052,10.9571967217897,0,0,0,864691136196969548,864691136446104451
676,1107,10.97073926406055,0,0,0,864691134941495395,864691135779705021
1000,2034,10.987169244168433,0,0,0,864691135510406921,864691135493546591
330,550,11.006697597372238,0,0,0,864691135455977578,864691135498997267
1466,1521,11.012650180587743,0,0,0,864691135857993774,864691135955909640
586,681,11.025616717444853,0,0,0,864691136975088156,864691135996177834
535,1047,11.027311549058528,0,0,0,864691135573276197,864691135214246528
575,2155,11.035361344333094,0,0,0,864691135801463650,864691136331214058
1069,2111,11.037912846186002,0,0,0,864691136010027182,864691135839979667
